,lon,lat,nltk_sentiment,count,total,%neg
347,103.780679309,1.35364174742,Negative,11,123,8.94308943089431
348,103.780679309,1.35364174742,Neutral,63,123,51.21951219512195
349,103.780679309,1.35364174742,Positive,49,123,39.83739837398374
350,103.780679309,1.36364174742,Negative,1,40,2.5
351,103.780679309,1.36364174742,Neutral,19,40,47.5
352,103.780679309,1.36364174742,Positive,20,40,50.0
353,103.780679309,1.37364174742,Negative,40,338,11.83431952662722
354,103.780679309,1.37364174742,Neutral,194,338,57.396449704142015
355,103.780679309,1.37364174742,Positive,104,338,30.76923076923077
356,103.780679309,1.42364174742,Negative,4,80,5.0
357,103.780679309,1.42364174742,Neutral,66,80,82.5
358,103.780679309,1.42364174742,Positive,10,80,12.5
359,103.780679309,1.43364174742,Negative,67,637,10.518053375196232
360,103.780679309,1.43364174742,Neutral,402,637,63.1083202511774
361,103.780679309,1.43364174742,Positive,168,637,26.373626373626376
362,103.780679309,1.44364174742,Negative,337,2502,13.469224620303756
363,103.780679309,1.44364174742,Neutral,1115,2502,44.56434852118306
364,103.780679309,1.44364174742,Positive,1050,2502,41.96642685851319
365,103.780679309,1.45364174742,Negative,21,172,12.209302325581394
366,103.780679309,1.45364174742,Neutral,88,172,51.16279069767442
367,103.780679309,1.45364174742,Positive,63,172,36.627906976744185
368,103.780679309,1.46364174742,Negative,2,63,3.1746031746031744
369,103.780679309,1.46364174742,Neutral,41,63,65.07936507936508
370,103.780679309,1.46364174742,Positive,20,63,31.746031746031743
371,103.790679309,1.27364174742,Negative,8,145,5.517241379310345
372,103.790679309,1.27364174742,Neutral,76,145,52.41379310344828
373,103.790679309,1.27364174742,Positive,61,145,42.06896551724138
374,103.790679309,1.28364174742,Negative,32,309,10.355987055016184
375,103.790679309,1.28364174742,Neutral,177,309,57.28155339805825
376,103.790679309,1.28364174742,Positive,100,309,32.362459546925564
377,103.790679309,1.29364174742,Negative,52,708,7.344632768361582
378,103.790679309,1.29364174742,Neutral,302,708,42.65536723163842
379,103.790679309,1.29364174742,Positive,354,708,50.0
380,103.790679309,1.30364174742,Negative,241,4419,5.453722561665535
381,103.790679309,1.30364174742,Neutral,2179,4419,49.30979859696764
382,103.790679309,1.30364174742,Positive,1999,4419,45.236478841366825
383,103.790679309,1.31364174742,Negative,63,1184,5.320945945945946
384,103.790679309,1.31364174742,Neutral,736,1184,62.16216216216216
385,103.790679309,1.31364174742,Positive,385,1184,32.516891891891895
386,103.790679309,1.32364174742,Negative,1,51,1.96078431372549
387,103.790679309,1.32364174742,Neutral,35,51,68.62745098039215
388,103.790679309,1.32364174742,Positive,15,51,29.411764705882355
389,103.790679309,1.33364174742,Negative,48,489,9.8159509202454
390,103.790679309,1.33364174742,Neutral,227,489,46.42126789366053
391,103.790679309,1.33364174742,Positive,214,489,43.76278118609407
392,103.790679309,1.34364174742,Negative,13,166,7.83132530120482
393,103.790679309,1.34364174742,Neutral,55,166,33.13253012048193
394,103.790679309,1.34364174742,Positive,98,166,59.036144578313255
395,103.790679309,1.35364174742,Negative,1,16,6.25
396,103.790679309,1.35364174742,Neutral,11,16,68.75
397,103.790679309,1.35364174742,Positive,4,16,25.0
398,103.790679309,1.42364174742,Negative,12,90,13.333333333333334
399,103.790679309,1.42364174742,Neutral,40,90,44.44444444444444
400,103.790679309,1.42364174742,Positive,38,90,42.22222222222222
401,103.790679309,1.43364174742,Negative,86,866,9.930715935334874
402,103.790679309,1.43364174742,Neutral,480,866,55.42725173210161
403,103.790679309,1.43364174742,Positive,300,866,34.64203233256351
404,103.790679309,1.44364174742,Negative,67,707,9.476661951909476
405,103.790679309,1.44364174742,Neutral,385,707,54.45544554455446
406,103.790679309,1.44364174742,Positive,255,707,36.06789250353607
407,103.790679309,1.45364174742,Negative,11,121,9.090909090909092
408,103.790679309,1.45364174742,Neutral,47,121,38.84297520661157
409,103.790679309,1.45364174742,Positive,63,121,52.066115702479344
410,103.800679309,1.26364174742,Negative,20,256,7.8125
411,103.800679309,1.26364174742,Neutral,111,256,43.359375
412,103.800679309,1.26364174742,Positive,125,256,48.828125
413,103.800679309,1.27364174742,Negative,81,987,8.206686930091186
414,103.800679309,1.27364174742,Neutral,418,987,42.35055724417426
415,103.800679309,1.27364174742,Positive,488,987,49.442755825734544
416,103.800679309,1.28364174742,Negative,59,746,7.908847184986595
417,103.800679309,1.28364174742,Neutral,315,746,42.22520107238606
418,103.800679309,1.28364174742,Positive,372,746,49.86595174262735
419,103.800679309,1.29364174742,Negative,77,740,10.405405405405403
420,103.800679309,1.29364174742,Neutral,374,740,50.54054054054053
421,103.800679309,1.29364174742,Positive,289,740,39.054054054054056
422,103.800679309,1.30364174742,Negative,131,1223,10.7113654946852
423,103.800679309,1.30364174742,Neutral,470,1223,38.43008994276369
424,103.800679309,1.30364174742,Positive,622,1223,50.8585445625511
425,103.800679309,1.31364174742,Negative,36,340,10.588235294117649
426,103.800679309,1.31364174742,Neutral,165,340,48.52941176470589
427,103.800679309,1.31364174742,Positive,139,340,40.88235294117647
428,103.800679309,1.32364174742,Negative,2,49,4.081632653061225
429,103.800679309,1.32364174742,Neutral,29,49,59.18367346938776
430,103.800679309,1.32364174742,Positive,18,49,36.734693877551024
431,103.800679309,1.33364174742,Negative,32,223,14.349775784753364
432,103.800679309,1.33364174742,Neutral,99,223,44.39461883408072
433,103.800679309,1.33364174742,Positive,92,223,41.25560538116592
