,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
162,103.810679309,1.40364174742,Negative,10,131,7.633587786259542,0.15298396946564885
163,103.810679309,1.41364174742,Negative,4,27,14.814814814814811,0.1668259259259259
164,103.810679309,1.43364174742,Negative,1,20,5.0,0.08252999999999999
165,103.810679309,1.44364174742,Negative,13,197,6.598984771573605,0.19969695431472081
166,103.810679309,1.45364174742,Negative,4,66,6.0606060606060606,0.10090454545454546
167,103.810679309,1.46364174742,Negative,7,80,8.75,0.3701525
168,103.820679309,1.24364174742,Negative,12,114,10.526315789473683,0.241309649122807
169,103.820679309,1.25364174742,Negative,575,5951,9.662241640060492,0.22898055788943034
170,103.820679309,1.26364174742,Negative,201,2181,9.21595598349381,0.21622283356258595
171,103.820679309,1.27364174742,Negative,45,607,7.413509060955518,0.18475354200988467
172,103.820679309,1.30364174742,Negative,91,1302,6.989247311827956,0.319228955453149
173,103.820679309,1.31364174742,Negative,73,1015,7.192118226600986,0.24561802955665024
174,103.820679309,1.32364174742,Negative,14,204,6.862745098039216,0.29923382352941175
175,103.820679309,1.33364174742,Negative,6,42,14.285714285714285,0.1009857142857143
176,103.820679309,1.35364174742,Negative,28,522,5.363984674329502,0.31130402298850574
177,103.820679309,1.36364174742,Negative,987,7673,12.863286849993482,0.28788876580216344
178,103.820679309,1.37364174742,Negative,24,59,40.67796610169492,0.09415084745762713
179,103.820679309,1.38364174742,Negative,11,82,13.414634146341465,0.13783414634146343
180,103.820679309,1.39364174742,Negative,1,58,1.7241379310344829,0.13506724137931034
181,103.820679309,1.40364174742,Negative,9,123,7.317073170731707,0.12552195121951218
182,103.820679309,1.42364174742,Negative,3,23,13.043478260869565,0.11798695652173914
183,103.820679309,1.43364174742,Negative,6,44,13.636363636363637,0.09244318181818181
184,103.820679309,1.44364174742,Negative,45,461,9.761388286334055,0.21369761388286335
185,103.820679309,1.45364174742,Negative,54,625,8.64,0.22973248
186,103.820679309,1.46364174742,Negative,8,58,13.79310344827586,0.2050103448275862
187,103.830679309,1.24364174742,Negative,48,699,6.866952789699571,0.27962947067238914
188,103.830679309,1.25364174742,Negative,36,341,10.557184750733136,0.2514211143695015
189,103.830679309,1.27364174742,Negative,43,374,11.497326203208557,0.10671336898395722
190,103.830679309,1.28364174742,Negative,224,2030,11.03448275862069,0.19182231527093596
