,lon,lat,nltk_sentiment,count,total,%
188,103.7006793,1.313641747,Neutral,22,38,57.89473684
189,103.7006793,1.313641747,Positive,15,38,39.47368421
190,103.7006793,1.323641747,Negative,1,25,4
191,103.7006793,1.323641747,Neutral,21,25,84
192,103.7006793,1.323641747,Positive,3,25,12
193,103.7006793,1.333641747,Negative,11,172,6.395348837
194,103.7006793,1.333641747,Neutral,117,172,68.02325581
195,103.7006793,1.333641747,Positive,44,172,25.58139535
196,103.7006793,1.343641747,Negative,61,545,11.19266055
197,103.7006793,1.343641747,Neutral,304,545,55.77981651
198,103.7006793,1.343641747,Positive,180,545,33.02752294
199,103.7006793,1.353641747,Negative,24,333,7.207207207
200,103.7006793,1.353641747,Neutral,249,333,74.77477477
201,103.7006793,1.353641747,Positive,60,333,18.01801802
202,103.7006793,1.363641747,Neutral,1,1,100
203,103.7006793,1.373641747,Positive,1,1,100
204,103.7006793,1.383641747,Neutral,1,3,33.33333333
205,103.7006793,1.383641747,Positive,2,3,66.66666667
206,103.7006793,1.403641747,Negative,1,2,50
207,103.7006793,1.403641747,Neutral,1,2,50
208,103.7006793,1.423641747,Negative,7,24,29.16666667
209,103.7006793,1.423641747,Neutral,7,24,29.16666667
210,103.7006793,1.423641747,Positive,10,24,41.66666667
211,103.7006793,1.433641747,Negative,1,9,11.11111111
212,103.7006793,1.433641747,Neutral,2,9,22.22222222
213,103.7006793,1.433641747,Positive,6,9,66.66666667
214,103.7006793,1.443641747,Neutral,2,5,40
215,103.7006793,1.443641747,Positive,3,5,60
216,103.7006793,1.453641747,Neutral,3,4,75
217,103.7006793,1.453641747,Positive,1,4,25
218,103.7106793,1.183641747,Positive,1,1,100
219,103.7106793,1.223641747,Neutral,2,2,100
220,103.7106793,1.273641747,Negative,2,8,25
221,103.7106793,1.273641747,Neutral,3,8,37.5
222,103.7106793,1.273641747,Positive,3,8,37.5
223,103.7106793,1.293641747,Positive,1,1,100
224,103.7106793,1.313641747,Negative,13,160,8.125
225,103.7106793,1.313641747,Neutral,78,160,48.75
226,103.7106793,1.313641747,Positive,69,160,43.125
227,103.7106793,1.323641747,Negative,2,58,3.448275862
228,103.7106793,1.323641747,Neutral,35,58,60.34482759
229,103.7106793,1.323641747,Positive,21,58,36.20689655
230,103.7106793,1.333641747,Negative,14,119,11.76470588
231,103.7106793,1.333641747,Neutral,70,119,58.82352941
232,103.7106793,1.333641747,Positive,35,119,29.41176471
233,103.7106793,1.343641747,Negative,83,843,9.845788849
234,103.7106793,1.343641747,Neutral,473,843,56.10913405
235,103.7106793,1.343641747,Positive,287,843,34.04507711
236,103.7106793,1.363641747,Negative,1,2,50
237,103.7106793,1.363641747,Neutral,1,2,50
238,103.7106793,1.373641747,Negative,1,10,10
239,103.7106793,1.373641747,Neutral,5,10,50
240,103.7106793,1.373641747,Positive,4,10,40
241,103.7106793,1.383641747,Neutral,2,2,100
242,103.7106793,1.423641747,Negative,1,4,25
243,103.7106793,1.423641747,Neutral,2,4,50
244,103.7106793,1.423641747,Positive,1,4,25
245,103.7106793,1.433641747,Negative,3,29,10.34482759
246,103.7106793,1.433641747,Neutral,16,29,55.17241379
247,103.7106793,1.433641747,Positive,10,29,34.48275862
248,103.7106793,1.443641747,Negative,1,9,11.11111111
249,103.7106793,1.443641747,Neutral,7,9,77.77777778
250,103.7106793,1.443641747,Positive,1,9,11.11111111
251,103.7206793,1.263641747,Positive,1,1,100
252,103.7206793,1.283641747,Neutral,1,3,33.33333333
253,103.7206793,1.283641747,Positive,2,3,66.66666667
254,103.7206793,1.293641747,Neutral,1,1,100
255,103.7206793,1.303641747,Positive,1,1,100
256,103.7206793,1.313641747,Negative,4,44,9.090909091
257,103.7206793,1.313641747,Neutral,17,44,38.63636364
258,103.7206793,1.313641747,Positive,23,44,52.27272727
259,103.7206793,1.323641747,Negative,6,90,6.666666667
260,103.7206793,1.323641747,Neutral,45,90,50
261,103.7206793,1.323641747,Positive,39,90,43.33333333
262,103.7206793,1.333641747,Negative,42,534,7.865168539
263,103.7206793,1.333641747,Neutral,250,534,46.8164794
264,103.7206793,1.333641747,Positive,242,534,45.31835206
265,103.7206793,1.343641747,Negative,29,459,6.318082789
266,103.7206793,1.343641747,Neutral,300,459,65.35947712
267,103.7206793,1.343641747,Positive,130,459,28.32244009
268,103.7206793,1.353641747,Negative,30,528,5.681818182
269,103.7206793,1.353641747,Neutral,290,528,54.92424242
270,103.7206793,1.353641747,Positive,208,528,39.39393939
271,103.7206793,1.373641747,Negative,5,75,6.666666667
272,103.7206793,1.373641747,Neutral,34,75,45.33333333
273,103.7206793,1.373641747,Positive,36,75,48
274,103.7206793,1.383641747,Neutral,4,9,44.44444444
275,103.7206793,1.383641747,Positive,5,9,55.55555556
276,103.7206793,1.413641747,Negative,6,29,20.68965517
277,103.7206793,1.413641747,Neutral,13,29,44.82758621
278,103.7206793,1.413641747,Positive,10,29,34.48275862
279,103.7206793,1.423641747,Negative,3,31,9.677419355
280,103.7206793,1.423641747,Neutral,20,31,64.51612903
281,103.7206793,1.423641747,Positive,8,31,25.80645161
282,103.7206793,1.453641747,Neutral,1,1,100
283,103.7306793,1.163641747,Neutral,8,14,57.14285714
284,103.7306793,1.163641747,Positive,6,14,42.85714286
285,103.7306793,1.213641747,Neutral,1,1,100
286,103.7306793,1.273641747,Neutral,1,3,33.33333333
287,103.7306793,1.273641747,Positive,2,3,66.66666667
288,103.7306793,1.283641747,Neutral,2,2,100
289,103.7306793,1.303641747,Negative,3,11,27.27272727
290,103.7306793,1.303641747,Neutral,5,11,45.45454545
291,103.7306793,1.303641747,Positive,3,11,27.27272727
292,103.7306793,1.313641747,Negative,3,35,8.571428571
293,103.7306793,1.313641747,Neutral,14,35,40
294,103.7306793,1.313641747,Positive,18,35,51.42857143
295,103.7306793,1.323641747,Neutral,8,17,47.05882353
296,103.7306793,1.323641747,Positive,9,17,52.94117647
297,103.7306793,1.333641747,Negative,16,251,6.374501992
298,103.7306793,1.333641747,Neutral,136,251,54.18326693
299,103.7306793,1.333641747,Positive,99,251,39.44223108
300,103.7306793,1.343641747,Negative,59,694,8.501440922
301,103.7306793,1.343641747,Neutral,351,694,50.57636888
302,103.7306793,1.343641747,Positive,284,694,40.9221902
303,103.7306793,1.353641747,Negative,9,87,10.34482759
304,103.7306793,1.353641747,Neutral,54,87,62.06896552
305,103.7306793,1.353641747,Positive,24,87,27.5862069
306,103.7306793,1.363641747,Negative,1,7,14.28571429
307,103.7306793,1.363641747,Neutral,4,7,57.14285714
308,103.7306793,1.363641747,Positive,2,7,28.57142857
309,103.7306793,1.373641747,Negative,1,14,7.142857143
310,103.7306793,1.373641747,Neutral,6,14,42.85714286
311,103.7306793,1.373641747,Positive,7,14,50
312,103.7306793,1.383641747,Negative,2,22,9.090909091
313,103.7306793,1.383641747,Neutral,13,22,59.09090909
314,103.7306793,1.383641747,Positive,7,22,31.81818182
315,103.7306793,1.393641747,Neutral,4,5,80
316,103.7306793,1.393641747,Positive,1,5,20
317,103.7306793,1.423641747,Negative,1,17,5.882352941
318,103.7306793,1.423641747,Neutral,9,17,52.94117647
319,103.7306793,1.423641747,Positive,7,17,41.17647059
320,103.7306793,1.443641747,Negative,28,264,10.60606061
321,103.7306793,1.443641747,Neutral,122,264,46.21212121
322,103.7306793,1.443641747,Positive,114,264,43.18181818
323,103.7406793,1.163641747,Neutral,2,8,25
324,103.7406793,1.163641747,Positive,6,8,75
325,103.7406793,1.193641747,Neutral,1,1,100
326,103.7406793,1.223641747,Neutral,1,1,100
327,103.7406793,1.273641747,Neutral,1,1,100
328,103.7406793,1.283641747,Neutral,1,1,100
329,103.7406793,1.303641747,Negative,1,15,6.666666667
330,103.7406793,1.303641747,Neutral,11,15,73.33333333
331,103.7406793,1.303641747,Positive,3,15,20
332,103.7406793,1.313641747,Negative,1,30,3.333333333
333,103.7406793,1.313641747,Neutral,20,30,66.66666667
334,103.7406793,1.313641747,Positive,9,30,30
335,103.7406793,1.323641747,Negative,16,140,11.42857143
336,103.7406793,1.323641747,Neutral,75,140,53.57142857
337,103.7406793,1.323641747,Positive,49,140,35
338,103.7406793,1.333641747,Negative,265,2830,9.363957597
339,103.7406793,1.333641747,Neutral,1350,2830,47.70318021
340,103.7406793,1.333641747,Positive,1215,2830,42.93286219
341,103.7406793,1.343641747,Negative,28,272,10.29411765
342,103.7406793,1.343641747,Neutral,168,272,61.76470588
343,103.7406793,1.343641747,Positive,76,272,27.94117647
344,103.7406793,1.353641747,Negative,15,296,5.067567568
345,103.7406793,1.353641747,Neutral,208,296,70.27027027
346,103.7406793,1.353641747,Positive,73,296,24.66216216
347,103.7406793,1.363641747,Negative,5,72,6.944444444
348,103.7406793,1.363641747,Neutral,45,72,62.5
349,103.7406793,1.363641747,Positive,22,72,30.55555556
350,103.7406793,1.373641747,Negative,27,246,10.97560976
351,103.7406793,1.373641747,Neutral,149,246,60.56910569
352,103.7406793,1.373641747,Positive,70,246,28.45528455
353,103.7406793,1.383641747,Negative,36,480,7.5
354,103.7406793,1.383641747,Neutral,306,480,63.75
355,103.7406793,1.383641747,Positive,138,480,28.75
356,103.7406793,1.393641747,Negative,9,210,4.285714286
357,103.7406793,1.393641747,Neutral,159,210,75.71428571
358,103.7406793,1.393641747,Positive,42,210,20
359,103.7406793,1.403641747,Negative,6,87,6.896551724
360,103.7406793,1.403641747,Neutral,50,87,57.47126437
361,103.7406793,1.403641747,Positive,31,87,35.63218391
362,103.7406793,1.413641747,Neutral,5,8,62.5
363,103.7406793,1.413641747,Positive,3,8,37.5
364,103.7406793,1.423641747,Neutral,4,6,66.66666667
365,103.7406793,1.423641747,Positive,2,6,33.33333333
366,103.7406793,1.433641747,Negative,2,8,25
367,103.7406793,1.433641747,Neutral,2,8,25
368,103.7406793,1.433641747,Positive,4,8,50
369,103.7406793,1.443641747,Negative,2,8,25
370,103.7406793,1.443641747,Neutral,6,8,75
371,103.7506793,1.223641747,Negative,6,53,11.32075472
372,103.7506793,1.223641747,Neutral,19,53,35.8490566
373,103.7506793,1.223641747,Positive,28,53,52.83018868
374,103.7506793,1.233641747,Neutral,1,2,50
375,103.7506793,1.233641747,Positive,1,2,50
376,103.7506793,1.283641747,Neutral,4,4,100
377,103.7506793,1.293641747,Neutral,6,9,66.66666667
378,103.7506793,1.293641747,Positive,3,9,33.33333333
379,103.7506793,1.303641747,Negative,2,31,6.451612903
380,103.7506793,1.303641747,Neutral,18,31,58.06451613
381,103.7506793,1.303641747,Positive,11,31,35.48387097
382,103.7506793,1.313641747,Negative,28,133,21.05263158
383,103.7506793,1.313641747,Neutral,51,133,38.34586466
384,103.7506793,1.313641747,Positive,54,133,40.60150376
385,103.7506793,1.323641747,Negative,18,287,6.271777003
386,103.7506793,1.323641747,Neutral,152,287,52.96167247
387,103.7506793,1.323641747,Positive,117,287,40.76655052
388,103.7506793,1.333641747,Negative,50,387,12.91989664
389,103.7506793,1.333641747,Neutral,214,387,55.29715762
390,103.7506793,1.333641747,Positive,123,387,31.78294574
391,103.7506793,1.343641747,Negative,17,234,7.264957265
392,103.7506793,1.343641747,Neutral,136,234,58.11965812
393,103.7506793,1.343641747,Positive,81,234,34.61538462
394,103.7506793,1.353641747,Negative,51,554,9.205776173
395,103.7506793,1.353641747,Neutral,349,554,62.99638989
396,103.7506793,1.353641747,Positive,154,554,27.79783394
397,103.7506793,1.363641747,Negative,23,254,9.05511811
398,103.7506793,1.363641747,Neutral,159,254,62.5984252
399,103.7506793,1.363641747,Positive,72,254,28.34645669
400,103.7506793,1.373641747,Negative,30,269,11.15241636
401,103.7506793,1.373641747,Neutral,127,269,47.21189591
402,103.7506793,1.373641747,Positive,112,269,41.63568773
403,103.7506793,1.383641747,Negative,96,931,10.31149302
404,103.7506793,1.383641747,Neutral,426,931,45.75725027
405,103.7506793,1.383641747,Positive,409,931,43.93125671
406,103.7506793,1.393641747,Negative,40,510,7.843137255
407,103.7506793,1.393641747,Neutral,327,510,64.11764706
408,103.7506793,1.393641747,Positive,143,510,28.03921569
409,103.7506793,1.403641747,Negative,6,159,3.773584906
410,103.7506793,1.403641747,Neutral,94,159,59.11949686
411,103.7506793,1.403641747,Positive,59,159,37.10691824
412,103.7506793,1.413641747,Negative,3,42,7.142857143
413,103.7506793,1.413641747,Neutral,8,42,19.04761905
414,103.7506793,1.413641747,Positive,31,42,73.80952381
415,103.7506793,1.423641747,Neutral,2,3,66.66666667
416,103.7506793,1.423641747,Positive,1,3,33.33333333
417,103.7506793,1.433641747,Negative,6,78,7.692307692
418,103.7506793,1.433641747,Neutral,33,78,42.30769231
419,103.7506793,1.433641747,Positive,39,78,50
420,103.7506793,1.443641747,Negative,1,5,20
421,103.7506793,1.443641747,Neutral,3,5,60
422,103.7506793,1.443641747,Positive,1,5,20
423,103.7506793,1.453641747,Negative,5,116,4.310344828
424,103.7506793,1.453641747,Neutral,68,116,58.62068966
425,103.7506793,1.453641747,Positive,43,116,37.06896552
426,103.7606793,1.233641747,Positive,1,1,100
427,103.7606793,1.283641747,Neutral,3,5,60
428,103.7606793,1.283641747,Positive,2,5,40
429,103.7606793,1.293641747,Negative,17,164,10.36585366
430,103.7606793,1.293641747,Neutral,76,164,46.34146341
431,103.7606793,1.293641747,Positive,71,164,43.29268293
432,103.7606793,1.303641747,Negative,13,179,7.262569832
433,103.7606793,1.303641747,Neutral,107,179,59.77653631
434,103.7606793,1.303641747,Positive,59,179,32.96089385
435,103.7606793,1.313641747,Negative,240,1826,13.14348302
436,103.7606793,1.313641747,Neutral,874,1826,47.86418401
437,103.7606793,1.313641747,Positive,712,1826,38.99233297
438,103.7606793,1.323641747,Negative,66,545,12.11009174
439,103.7606793,1.323641747,Neutral,204,545,37.43119266
440,103.7606793,1.323641747,Positive,275,545,50.4587156
441,103.7606793,1.333641747,Negative,3,48,6.25
442,103.7606793,1.333641747,Neutral,27,48,56.25
443,103.7606793,1.333641747,Positive,18,48,37.5
444,103.7606793,1.343641747,Negative,17,228,7.456140351
445,103.7606793,1.343641747,Neutral,144,228,63.15789474
446,103.7606793,1.343641747,Positive,67,228,29.38596491
447,103.7606793,1.353641747,Negative,33,404,8.168316832
448,103.7606793,1.353641747,Neutral,246,404,60.89108911
449,103.7606793,1.353641747,Positive,125,404,30.94059406
450,103.7606793,1.363641747,Negative,9,111,8.108108108
451,103.7606793,1.363641747,Neutral,57,111,51.35135135
452,103.7606793,1.363641747,Positive,45,111,40.54054054
453,103.7606793,1.373641747,Negative,427,2665,16.02251407
454,103.7606793,1.373641747,Neutral,1088,2665,40.82551595
455,103.7606793,1.373641747,Positive,1150,2665,43.15196998
456,103.7606793,1.383641747,Negative,41,500,8.2
457,103.7606793,1.383641747,Neutral,308,500,61.6
458,103.7606793,1.383641747,Positive,151,500,30.2
459,103.7606793,1.393641747,Neutral,4,4,100
460,103.7606793,1.403641747,Negative,9,52,17.30769231
461,103.7606793,1.403641747,Neutral,23,52,44.23076923
462,103.7606793,1.403641747,Positive,20,52,38.46153846
463,103.7606793,1.413641747,Negative,1,11,9.090909091
464,103.7606793,1.413641747,Neutral,6,11,54.54545455
465,103.7606793,1.413641747,Positive,4,11,36.36363636
466,103.7606793,1.423641747,Negative,78,1010,7.722772277
467,103.7606793,1.423641747,Neutral,260,1010,25.74257426
468,103.7606793,1.423641747,Positive,672,1010,66.53465347
469,103.7606793,1.433641747,Negative,6,51,11.76470588
470,103.7606793,1.433641747,Neutral,26,51,50.98039216
471,103.7606793,1.433641747,Positive,19,51,37.25490196
472,103.7606793,1.453641747,Negative,49,657,7.458143075
473,103.7606793,1.453641747,Neutral,408,657,62.10045662
474,103.7606793,1.453641747,Positive,200,657,30.4414003
475,103.7706793,1.213641747,Neutral,3,5,60
476,103.7706793,1.213641747,Positive,2,5,40
477,103.7706793,1.223641747,Neutral,1,1,100
478,103.7706793,1.233641747,Neutral,1,1,100
479,103.7706793,1.243641747,Negative,1,1,100
480,103.7706793,1.273641747,Negative,1,4,25
481,103.7706793,1.273641747,Neutral,1,4,25
482,103.7706793,1.273641747,Positive,2,4,50
483,103.7706793,1.283641747,Negative,1,8,12.5
484,103.7706793,1.283641747,Neutral,4,8,50
485,103.7706793,1.283641747,Positive,3,8,37.5
486,103.7706793,1.293641747,Negative,30,393,7.633587786
487,103.7706793,1.293641747,Neutral,179,393,45.54707379
488,103.7706793,1.293641747,Positive,184,393,46.81933842
489,103.7706793,1.303641747,Negative,48,537,8.938547486
490,103.7706793,1.303641747,Neutral,189,537,35.19553073
491,103.7706793,1.303641747,Positive,300,537,55.86592179
492,103.7706793,1.313641747,Negative,22,266,8.270676692
493,103.7706793,1.313641747,Neutral,165,266,62.03007519
494,103.7706793,1.313641747,Positive,79,266,29.69924812
495,103.7706793,1.323641747,Negative,27,368,7.336956522
496,103.7706793,1.323641747,Neutral,231,368,62.77173913
497,103.7706793,1.323641747,Positive,110,368,29.89130435
498,103.7706793,1.333641747,Negative,21,207,10.14492754
499,103.7706793,1.333641747,Neutral,69,207,33.33333333
500,103.7706793,1.333641747,Positive,117,207,56.52173913
501,103.7706793,1.343641747,Negative,35,453,7.726269316
502,103.7706793,1.343641747,Neutral,253,453,55.84988962
503,103.7706793,1.343641747,Positive,165,453,36.42384106
504,103.7706793,1.353641747,Negative,25,240,10.41666667
505,103.7706793,1.353641747,Neutral,148,240,61.66666667
506,103.7706793,1.353641747,Positive,67,240,27.91666667
507,103.7706793,1.363641747,Negative,100,338,29.58579882
508,103.7706793,1.363641747,Neutral,110,338,32.5443787
509,103.7706793,1.363641747,Positive,128,338,37.86982249
510,103.7706793,1.373641747,Negative,24,250,9.6
511,103.7706793,1.373641747,Neutral,144,250,57.6
512,103.7706793,1.373641747,Positive,82,250,32.8
513,103.7706793,1.383641747,Negative,50,594,8.417508418
514,103.7706793,1.383641747,Neutral,379,594,63.8047138
515,103.7706793,1.383641747,Positive,165,594,27.77777778
516,103.7706793,1.393641747,Negative,20,131,15.26717557
517,103.7706793,1.393641747,Neutral,52,131,39.69465649
518,103.7706793,1.393641747,Positive,59,131,45.03816794
519,103.7706793,1.403641747,Negative,1,3,33.33333333
520,103.7706793,1.403641747,Neutral,1,3,33.33333333
521,103.7706793,1.403641747,Positive,1,3,33.33333333
522,103.7706793,1.413641747,Negative,2,14,14.28571429
523,103.7706793,1.413641747,Neutral,3,14,21.42857143
