,lon,lat,nltk_sentiment,count,total,%neg
80,103.650679309,1.30364174742,Positive,4,11,36.36363636363637
81,103.650679309,1.31364174742,Neutral,10,15,66.66666666666666
82,103.650679309,1.31364174742,Positive,5,15,33.33333333333333
83,103.650679309,1.32364174742,Negative,1,6,16.666666666666664
84,103.650679309,1.32364174742,Neutral,3,6,50.0
85,103.650679309,1.32364174742,Positive,2,6,33.33333333333333
86,103.650679309,1.33364174742,Negative,2,18,11.11111111111111
87,103.650679309,1.33364174742,Neutral,11,18,61.111111111111114
88,103.650679309,1.33364174742,Positive,5,18,27.77777777777778
89,103.650679309,1.34364174742,Positive,1,1,100.0
90,103.660679309,1.29364174742,Neutral,2,6,33.33333333333333
91,103.660679309,1.29364174742,Positive,4,6,66.66666666666666
92,103.660679309,1.30364174742,Negative,1,11,9.090909090909092
93,103.660679309,1.30364174742,Neutral,8,11,72.72727272727273
94,103.660679309,1.30364174742,Positive,2,11,18.181818181818183
95,103.660679309,1.31364174742,Neutral,3,6,50.0
96,103.660679309,1.31364174742,Positive,3,6,50.0
97,103.660679309,1.32364174742,Negative,7,57,12.280701754385964
98,103.660679309,1.32364174742,Neutral,33,57,57.89473684210527
99,103.660679309,1.32364174742,Positive,17,57,29.82456140350877
100,103.660679309,1.34364174742,Neutral,1,1,100.0
101,103.660679309,1.41364174742,Negative,39,611,6.382978723404255
102,103.660679309,1.41364174742,Neutral,339,611,55.48281505728314
103,103.660679309,1.41364174742,Positive,233,611,38.1342062193126
104,103.670679309,1.27364174742,Neutral,1,3,33.33333333333333
105,103.670679309,1.27364174742,Positive,2,3,66.66666666666666
106,103.670679309,1.28364174742,Neutral,1,1,100.0
107,103.670679309,1.29364174742,Negative,3,16,18.75
108,103.670679309,1.29364174742,Neutral,6,16,37.5
109,103.670679309,1.29364174742,Positive,7,16,43.75
110,103.670679309,1.30364174742,Negative,3,12,25.0
111,103.670679309,1.30364174742,Neutral,6,12,50.0
112,103.670679309,1.30364174742,Positive,3,12,25.0
113,103.670679309,1.31364174742,Neutral,1,5,20.0
114,103.670679309,1.31364174742,Positive,4,5,80.0
115,103.670679309,1.32364174742,Neutral,4,7,57.14285714285714
116,103.670679309,1.32364174742,Positive,3,7,42.857142857142854
117,103.670679309,1.33364174742,Negative,6,39,15.384615384615385
118,103.670679309,1.33364174742,Neutral,11,39,28.205128205128204
119,103.670679309,1.33364174742,Positive,22,39,56.41025641025641
120,103.670679309,1.34364174742,Neutral,1,1,100.0
121,103.680679309,1.23364174742,Neutral,2,2,100.0
122,103.680679309,1.26364174742,Neutral,2,3,66.66666666666666
123,103.680679309,1.26364174742,Positive,1,3,33.33333333333333
124,103.680679309,1.28364174742,Neutral,1,1,100.0
125,103.680679309,1.29364174742,Negative,10,111,9.00900900900901
126,103.680679309,1.29364174742,Neutral,46,111,41.44144144144144
127,103.680679309,1.29364174742,Positive,55,111,49.549549549549546
128,103.680679309,1.30364174742,Neutral,7,11,63.63636363636363
129,103.680679309,1.30364174742,Positive,4,11,36.36363636363637
130,103.680679309,1.31364174742,Negative,1,9,11.11111111111111
131,103.680679309,1.31364174742,Neutral,6,9,66.66666666666666
132,103.680679309,1.31364174742,Positive,2,9,22.22222222222222
133,103.680679309,1.32364174742,Negative,5,61,8.19672131147541
134,103.680679309,1.32364174742,Neutral,39,61,63.934426229508205
135,103.680679309,1.32364174742,Positive,17,61,27.86885245901639
136,103.680679309,1.33364174742,Negative,8,86,9.30232558139535
137,103.680679309,1.33364174742,Neutral,46,86,53.48837209302325
138,103.680679309,1.33364174742,Positive,32,86,37.2093023255814
139,103.680679309,1.34364174742,Negative,42,407,10.319410319410318
140,103.680679309,1.34364174742,Neutral,142,407,34.88943488943489
141,103.680679309,1.34364174742,Positive,223,407,54.791154791154796
142,103.680679309,1.35364174742,Negative,6,76,7.894736842105263
143,103.680679309,1.35364174742,Neutral,32,76,42.10526315789473
144,103.680679309,1.35364174742,Positive,38,76,50.0
145,103.680679309,1.37364174742,Neutral,1,1,100.0
146,103.690679309,1.25364174742,Negative,1,1,100.0
147,103.690679309,1.26364174742,Neutral,4,5,80.0
148,103.690679309,1.26364174742,Positive,1,5,20.0
149,103.690679309,1.27364174742,Neutral,1,1,100.0
150,103.690679309,1.28364174742,Neutral,1,1,100.0
151,103.690679309,1.31364174742,Neutral,8,9,88.88888888888889
152,103.690679309,1.31364174742,Positive,1,9,11.11111111111111
153,103.690679309,1.32364174742,Negative,2,26,7.6923076923076925
154,103.690679309,1.32364174742,Neutral,17,26,65.38461538461539
155,103.690679309,1.32364174742,Positive,7,26,26.923076923076923
156,103.690679309,1.33364174742,Negative,7,50,14.000000000000002
157,103.690679309,1.33364174742,Neutral,25,50,50.0
158,103.690679309,1.33364174742,Positive,18,50,36.0
159,103.690679309,1.34364174742,Negative,15,212,7.0754716981132075
160,103.690679309,1.34364174742,Neutral,126,212,59.43396226415094
161,103.690679309,1.34364174742,Positive,71,212,33.490566037735846
162,103.690679309,1.35364174742,Negative,6,60,10.0
163,103.690679309,1.35364174742,Neutral,35,60,58.333333333333336
164,103.690679309,1.35364174742,Positive,19,60,31.666666666666664
165,103.690679309,1.36364174742,Negative,4,30,13.333333333333334
166,103.690679309,1.36364174742,Neutral,5,30,16.666666666666664
167,103.690679309,1.36364174742,Positive,21,30,70.0
168,103.690679309,1.37364174742,Negative,5,25,20.0
169,103.690679309,1.37364174742,Neutral,14,25,56.00000000000001
170,103.690679309,1.37364174742,Positive,6,25,24.0
171,103.690679309,1.38364174742,Negative,2,19,10.526315789473683
172,103.690679309,1.38364174742,Neutral,8,19,42.10526315789473
173,103.690679309,1.38364174742,Positive,9,19,47.368421052631575
174,103.690679309,1.39364174742,Negative,1,2,50.0
175,103.690679309,1.39364174742,Positive,1,2,50.0
176,103.690679309,1.41364174742,Positive,1,1,100.0
177,103.690679309,1.42364174742,Neutral,2,3,66.66666666666666
178,103.690679309,1.42364174742,Positive,1,3,33.33333333333333
179,103.690679309,1.43364174742,Positive,1,1,100.0
180,103.700679309,1.26364174742,Negative,1,19,5.263157894736842
181,103.700679309,1.26364174742,Neutral,9,19,47.368421052631575
182,103.700679309,1.26364174742,Positive,9,19,47.368421052631575
183,103.700679309,1.27364174742,Negative,1,4,25.0
184,103.700679309,1.27364174742,Neutral,1,4,25.0
185,103.700679309,1.27364174742,Positive,2,4,50.0
186,103.700679309,1.31364174742,Negative,1,38,2.631578947368421
187,103.700679309,1.31364174742,Neutral,22,38,57.89473684210527
188,103.700679309,1.31364174742,Positive,15,38,39.473684210526315
189,103.700679309,1.32364174742,Negative,1,25,4.0
190,103.700679309,1.32364174742,Neutral,21,25,84.0
191,103.700679309,1.32364174742,Positive,3,25,12.0
192,103.700679309,1.33364174742,Negative,11,172,6.395348837209303
193,103.700679309,1.33364174742,Neutral,117,172,68.02325581395348
194,103.700679309,1.33364174742,Positive,44,172,25.581395348837212
195,103.700679309,1.34364174742,Negative,62,545,11.376146788990827
196,103.700679309,1.34364174742,Neutral,303,545,55.596330275229356
197,103.700679309,1.34364174742,Positive,180,545,33.02752293577982
198,103.700679309,1.35364174742,Negative,24,333,7.207207207207207
199,103.700679309,1.35364174742,Neutral,249,333,74.77477477477478
200,103.700679309,1.35364174742,Positive,60,333,18.01801801801802
201,103.700679309,1.36364174742,Neutral,1,1,100.0
202,103.700679309,1.37364174742,Positive,1,1,100.0
203,103.700679309,1.38364174742,Neutral,1,3,33.33333333333333
204,103.700679309,1.38364174742,Positive,2,3,66.66666666666666
205,103.700679309,1.40364174742,Negative,1,2,50.0
206,103.700679309,1.40364174742,Neutral,1,2,50.0
207,103.700679309,1.42364174742,Negative,7,24,29.166666666666668
208,103.700679309,1.42364174742,Neutral,7,24,29.166666666666668
209,103.700679309,1.42364174742,Positive,10,24,41.66666666666667
210,103.700679309,1.43364174742,Negative,1,9,11.11111111111111
211,103.700679309,1.43364174742,Neutral,2,9,22.22222222222222
212,103.700679309,1.43364174742,Positive,6,9,66.66666666666666
213,103.700679309,1.44364174742,Neutral,2,5,40.0
214,103.700679309,1.44364174742,Positive,3,5,60.0
215,103.700679309,1.45364174742,Neutral,3,4,75.0
216,103.700679309,1.45364174742,Positive,1,4,25.0
217,103.710679309,1.18364174742,Positive,1,1,100.0
218,103.710679309,1.22364174742,Neutral,2,2,100.0
219,103.710679309,1.27364174742,Negative,2,8,25.0
220,103.710679309,1.27364174742,Neutral,3,8,37.5
221,103.710679309,1.27364174742,Positive,3,8,37.5
222,103.710679309,1.29364174742,Positive,1,1,100.0
223,103.710679309,1.31364174742,Negative,13,160,8.125
224,103.710679309,1.31364174742,Neutral,78,160,48.75
225,103.710679309,1.31364174742,Positive,69,160,43.125
226,103.710679309,1.32364174742,Negative,2,58,3.4482758620689653
227,103.710679309,1.32364174742,Neutral,35,58,60.3448275862069
228,103.710679309,1.32364174742,Positive,21,58,36.206896551724135
229,103.710679309,1.33364174742,Negative,14,119,11.76470588235294
230,103.710679309,1.33364174742,Neutral,70,119,58.82352941176471
231,103.710679309,1.33364174742,Positive,35,119,29.411764705882355
232,103.710679309,1.34364174742,Negative,83,843,9.845788849347569
233,103.710679309,1.34364174742,Neutral,473,843,56.109134045077106
234,103.710679309,1.34364174742,Positive,287,843,34.04507710557533
235,103.710679309,1.36364174742,Negative,1,2,50.0
236,103.710679309,1.36364174742,Neutral,1,2,50.0
237,103.710679309,1.37364174742,Negative,1,10,10.0
238,103.710679309,1.37364174742,Neutral,5,10,50.0
239,103.710679309,1.37364174742,Positive,4,10,40.0
240,103.710679309,1.38364174742,Neutral,2,2,100.0
241,103.710679309,1.42364174742,Negative,1,4,25.0
242,103.710679309,1.42364174742,Neutral,2,4,50.0
243,103.710679309,1.42364174742,Positive,1,4,25.0
244,103.710679309,1.43364174742,Negative,3,29,10.344827586206897
245,103.710679309,1.43364174742,Neutral,16,29,55.172413793103445
246,103.710679309,1.43364174742,Positive,10,29,34.48275862068966
247,103.710679309,1.44364174742,Negative,1,9,11.11111111111111
248,103.710679309,1.44364174742,Neutral,7,9,77.77777777777779
249,103.710679309,1.44364174742,Positive,1,9,11.11111111111111
250,103.720679309,1.26364174742,Positive,1,1,100.0
251,103.720679309,1.28364174742,Neutral,1,3,33.33333333333333
252,103.720679309,1.28364174742,Positive,2,3,66.66666666666666
253,103.720679309,1.29364174742,Neutral,1,1,100.0
254,103.720679309,1.30364174742,Positive,1,1,100.0
255,103.720679309,1.31364174742,Negative,4,44,9.090909090909092
256,103.720679309,1.31364174742,Neutral,17,44,38.63636363636363
257,103.720679309,1.31364174742,Positive,23,44,52.27272727272727
258,103.720679309,1.32364174742,Negative,6,90,6.666666666666667
259,103.720679309,1.32364174742,Neutral,45,90,50.0
260,103.720679309,1.32364174742,Positive,39,90,43.333333333333336
261,103.720679309,1.33364174742,Negative,42,534,7.865168539325842
262,103.720679309,1.33364174742,Neutral,250,534,46.81647940074906
263,103.720679309,1.33364174742,Positive,242,534,45.31835205992509
264,103.720679309,1.34364174742,Negative,29,459,6.318082788671024
265,103.720679309,1.34364174742,Neutral,300,459,65.359477124183
266,103.720679309,1.34364174742,Positive,130,459,28.322440087145967
267,103.720679309,1.35364174742,Negative,30,528,5.681818181818182
268,103.720679309,1.35364174742,Neutral,290,528,54.92424242424242
269,103.720679309,1.35364174742,Positive,208,528,39.39393939393939
270,103.720679309,1.37364174742,Negative,5,75,6.666666666666667
271,103.720679309,1.37364174742,Neutral,34,75,45.33333333333333
272,103.720679309,1.37364174742,Positive,36,75,48.0
273,103.720679309,1.38364174742,Neutral,4,9,44.44444444444444
274,103.720679309,1.38364174742,Positive,5,9,55.55555555555556
275,103.720679309,1.41364174742,Negative,6,29,20.689655172413794
276,103.720679309,1.41364174742,Neutral,13,29,44.827586206896555
277,103.720679309,1.41364174742,Positive,10,29,34.48275862068966
278,103.720679309,1.42364174742,Negative,3,31,9.67741935483871
279,103.720679309,1.42364174742,Neutral,20,31,64.51612903225806
280,103.720679309,1.42364174742,Positive,8,31,25.806451612903224
281,103.720679309,1.45364174742,Neutral,1,1,100.0
282,103.730679309,1.16364174742,Neutral,8,14,57.14285714285714
283,103.730679309,1.16364174742,Positive,6,14,42.857142857142854
284,103.730679309,1.21364174742,Neutral,1,1,100.0
285,103.730679309,1.27364174742,Neutral,1,3,33.33333333333333
286,103.730679309,1.27364174742,Positive,2,3,66.66666666666666
287,103.730679309,1.28364174742,Neutral,2,2,100.0
288,103.730679309,1.30364174742,Negative,3,11,27.27272727272727
289,103.730679309,1.30364174742,Neutral,5,11,45.45454545454545
290,103.730679309,1.30364174742,Positive,3,11,27.27272727272727
291,103.730679309,1.31364174742,Negative,3,35,8.571428571428571
292,103.730679309,1.31364174742,Neutral,14,35,40.0
293,103.730679309,1.31364174742,Positive,18,35,51.42857142857142
294,103.730679309,1.32364174742,Neutral,8,17,47.05882352941176
295,103.730679309,1.32364174742,Positive,9,17,52.94117647058824
296,103.730679309,1.33364174742,Negative,16,251,6.374501992031872
297,103.730679309,1.33364174742,Neutral,136,251,54.18326693227091
298,103.730679309,1.33364174742,Positive,99,251,39.44223107569721
299,103.730679309,1.34364174742,Negative,59,694,8.501440922190202
300,103.730679309,1.34364174742,Neutral,351,694,50.57636887608069
301,103.730679309,1.34364174742,Positive,284,694,40.92219020172911
302,103.730679309,1.35364174742,Negative,9,87,10.344827586206897
303,103.730679309,1.35364174742,Neutral,54,87,62.06896551724138
304,103.730679309,1.35364174742,Positive,24,87,27.586206896551722
305,103.730679309,1.36364174742,Negative,1,7,14.285714285714285
306,103.730679309,1.36364174742,Neutral,4,7,57.14285714285714
307,103.730679309,1.36364174742,Positive,2,7,28.57142857142857
308,103.730679309,1.37364174742,Negative,1,14,7.142857142857142
309,103.730679309,1.37364174742,Neutral,6,14,42.857142857142854
310,103.730679309,1.37364174742,Positive,7,14,50.0
311,103.730679309,1.38364174742,Negative,2,22,9.090909090909092
312,103.730679309,1.38364174742,Neutral,13,22,59.09090909090909
313,103.730679309,1.38364174742,Positive,7,22,31.818181818181817
314,103.730679309,1.39364174742,Neutral,4,5,80.0
315,103.730679309,1.39364174742,Positive,1,5,20.0
316,103.730679309,1.42364174742,Negative,1,17,5.88235294117647
317,103.730679309,1.42364174742,Neutral,9,17,52.94117647058824
318,103.730679309,1.42364174742,Positive,7,17,41.17647058823529
